,wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price_category
0,brick,1,5.0,18.0,3.0,55.723379,37.628577,0
1,brick,1,5.0,15.0,3.0,55.72598000000001,37.671031,0
2,brick,1,5.0,11.9,1.5,55.735976,37.657817,0
3,brick,1,7.0,18.4,3.0,55.786698,37.59532100000001,0
4,brick,2,5.0,17.6,2.0,55.76789399999999,37.66592,0
5,brick,5,9.0,21.5,3.0,55.784066,37.637425,0
6,brick,5,9.0,21.5,3.0,55.784066,37.637425,0
7,monolithBrick,1,3.0,29.0,6.0,55.76324,37.651825,0
8,brick,5,8.0,28.8,6.5,55.776472,37.598869,0
9,brick,1,5.0,25.2,2.0,55.735976,37.657817,0
10,monolithBrick,5,9.0,29.0,7.0,55.775545,37.672118,0
11,brick,2,9.0,29.5,5.8,55.777869,37.706712,0
12,brick,5,8.0,28.8,7.0,55.776472,37.598869,0
13,monolithBrick,12,30.0,30.0,10.0,55.75461800000001,37.524058,0
14,brick,4,5.0,32.6,5.0,55.73478000000001,37.65390900000001,0
15,brick,3,5.0,30.0,6.0,55.76716500000001,37.658356,0
16,panel,9,12.0,31.0,7.2,55.731642,37.565614,0
17,block,2,9.0,31.0,6.0,55.73334000000001,37.662497,0
18,brick,8,8.0,31.0,6.9,55.726046,37.581487,0
19,brick,3,8.0,30.7,5.0,55.78908199999999,37.627795,0
20,brick,7,9.0,32.0,5.8,55.791223,37.631532,0
21,brick,2,5.0,30.3,5.4,55.783787,37.674741,0
22,brick,8,8.0,32.0,7.0,55.726046,37.581487,0
23,brick,3,6.0,32.3,6.0,55.73724300000001,37.641737,0
24,brick,3,10.0,31.2,7.0,55.775894,37.595564,0
25,brick,3,10.0,31.2,7.0,55.775894,37.595564,0
26,brick,3,10.0,31.2,7.0,55.775894,37.595564,0
27,brick,5,5.0,31.0,6.0,55.75677099999999,37.520734,0
28,brick,2,5.0,30.0,6.0,55.76254100000001,37.67272,0
29,brick,3,5.0,31.0,5.0,55.781565,37.591728,0
30,brick,3,9.0,32.8,9.1,55.736757,37.658491,0
31,brick,2,5.0,32.0,6.0,55.72985799999999,37.591288,0
32,monolith,2,9.0,31.0,6.0,55.723491,37.611329,0
33,brick,4,8.0,31.6,5.0,55.77356999999999,37.62952,0
34,brick,8,9.0,34.5,6.5,55.78336700000001,37.587173,0
35,monolith,5,9.0,33.0,5.6,55.774811,37.678559,0
36,brick,5,8.0,33.4,10.0,55.747323,37.66203,0
37,block,1,12.0,34.7,10.0,55.771818,37.705185,0
38,panel,4,9.0,33.2,7.7,55.782856,37.59232100000001,0
39,block,10,12.0,34.8,10.2,55.744784,37.680472,0
40,brick,4,6.0,33.5,6.7,55.754583,37.594674,0
41,monolith,5,9.0,33.0,6.0,55.774811,37.678559,0
42,block,6,9.0,33.0,6.0,55.72164,37.606658,0
43,panel,8,16.0,34.0,9.4,55.776006,37.646274,0
44,panel,14,24.0,33.0,9.0,55.753154,37.594036,0
45,brick,4,9.0,33.0,6.0,55.743634,37.640488,0
46,monolith,11,12.0,37.74,7.0,55.770811,37.591189,0
47,block,2,14.0,36.0,8.0,55.734151,37.61892,0
48,block,10,14.0,35.0,10.0,55.78038000000001,37.64524,0
49,brick,3,8.0,36.1,8.5,55.767722,37.565973,0
50,block,9,12.0,36.0,10.0,55.764197,37.565245,0
51,monolith,10,12.0,37.45,10.0,55.770811,37.591189,0
52,brick,1,9.0,36.9,7.8,55.761872,37.562676,0
53,block,3,5.0,35.3,6.7,55.74225500000001,37.662991,0
54,panel,5,17.0,36.5,7.5,55.74304100000001,37.687659,0
55,panel,12,17.0,37.8,8.0,55.743988,37.686545,0
56,block,10,12.0,35.0,10.0,55.740046,37.66088900000001,0
57,whiteBrick,3,7.0,36.5,7.0,55.76797,37.573025,0
58,brick,3,7.0,36.5,7.0,55.76797,37.573025,0
59,block,1,12.0,35.0,9.8,55.781109,37.641584,0
60,block,3,12.0,36.0,11.0,55.744784,37.680472,0
61,block,5,12.0,35.7,9.7,55.744662,37.686437,0
62,brick,7,9.0,37.4,7.6,55.791876,37.624418,0
63,panel,2,12.0,35.3,10.0,55.782284,37.58942800000001,0
64,brick,8,14.0,36.0,8.0,55.78871700000001,37.629888,0
65,brick,4,9.0,37.2,8.0,55.761872,37.562676,0
66,brick,3,8.0,36.0,9.0,55.779692,37.668704,0
67,brick,8,8.0,36.6,4.5,55.776472,37.598869,0
68,brick,5,12.0,36.0,7.0,55.748665,37.57687,0
69,brick,9,9.0,36.1,8.5,55.748741,37.585089,0
70,brick,2,7.0,35.0,8.0,55.738951,37.58367,0
71,monolith,11,12.0,37.74,10.0,55.770811,37.591189,1
72,brick,6,9.0,36.0,8.0,55.791876,37.624418,0
73,panel,3,12.0,38.0,12.0,55.731642,37.565614,0
74,monolith,7,12.0,39.1,7.0,55.770811,37.591189,0
75,monolith,10,25.0,39.0,9.0,55.740015,37.68765,0
76,panel,1,10.0,39.0,10.0,55.775834,37.644171,0
77,brick,3,7.0,39.1,5.1,55.737096,37.677607,0
78,block,1,9.0,38.0,6.0,55.732286,37.672154,0
79,block,9,16.0,38.0,9.8,55.790651,37.640093,0
80,monolith,14,17.0,38.0,8.0,55.741166,37.682269,0
81,block,1,12.0,38.1,6.5,55.790514,37.632278,0
82,panel,7,9.0,38.0,8.0,55.791876,37.624418,0
83,block,10,12.0,38.8,6.0,55.763417,37.54702800000001,0
84,brick,5,7.0,39.4,5.3,55.768071,37.669306,0
